PDB_1	PDB_2	Len_PDB_1	Len_PDB_2	Coverage	RMSD	I(A)	NULL(S)	NULL(T)	I(TgSA)	NULL(T)-I(TgSA)	NULL(S & T)	I(A & <S,T>)	Compression
ORF2-class15-RT	ORF2-class12-thumb	420	84	79	1.421	60.485	14599.359	2880.890	2601.209	279.681	17480.249	17252.343	227.906
ORF2-class15-RT	pdb7v9u_A_bioassembly	420	309	268	3.510	303.169	14599.359	10816.655	10220.875	595.780	25416.014	25114.693	301.322
ORF2-class15-RT	ORF2-class01-N	420	239	0	0.000	36.437	14599.359	8423.760	8423.760	0.000	23023.119	23066.565	-43.446
ORF2-class15-RT	ORF2-class20-fingers	420	118	118	0.000	37.245	14599.359	4061.188	3544.641	516.548	18660.547	18172.534	488.014
ORF2-class15-RT	pdb4hkq_A_bioassembly	441	420	147	2.311	229.248	15688.746	14599.359	14233.162	366.197	30288.106	30142.354	145.751
ORF2-class15-RT	ORF2-class06-fingers	420	118	118	0.000	37.245	14599.359	4061.188	3544.641	516.548	18660.547	18172.534	488.014
ORF2-class15-RT	ORF2-class04-tower	420	201	54	3.445	102.720	14599.359	7012.994	6852.070	160.924	21612.353	21545.438	66.915
ORF2-class15-RT	ORF2-class07-wrist	420	201	61	6.672	111.130	14599.359	7055.154	6910.224	144.930	21654.513	21612.002	42.511
ORF2-class15-RT	ORF2-class06-RT	420	420	416	0.495	77.495	14599.359	14612.702	12735.242	1877.460	29212.061	27403.385	1808.676
ORF2-class15-RT	pdb7yer_A,B,C,D_bioassembly	1743	420	268	3.398	294.864	60915.743	14599.359	14062.816	536.543	75515.102	75262.110	252.992
ORF2-class15-RT	ORF2-class16-thumb	420	84	80	1.547	54.146	14599.359	2912.083	2632.584	279.499	17511.443	17277.379	234.064
ORF2-class15-RT	pdb2e9r_X_bioassembly	476	420	256	3.610	294.415	16908.909	14599.359	14089.525	509.834	31508.268	31283.903	224.365
ORF2-class15-RT	ORF2-class16-fingers	420	118	118	0.000	37.245	14599.359	4061.188	3544.641	516.548	18660.547	18172.534	488.014
ORF2-class15-RT	ORF2-class09-full	1275	420	416	0.472	100.390	44630.875	14599.359	12719.439	1879.920	59230.234	57439.950	1790.284
ORF2-class15-RT	pdb1bgw_A_bioassembly	679	420	0	0.000	38.410	24026.488	14599.359	14599.359	0.000	38625.847	38671.266	-45.419
ORF2-class15-RT	ORF2-C	420	214	61	4.106	113.601	14599.359	7394.489	7272.629	121.860	21993.848	21976.878	16.970
ORF2-class15-RT	ORF2-class14-N	420	239	47	4.852	93.831	14599.359	8433.539	8338.830	94.709	23032.898	23023.309	9.588
ORF2-class15-RT	ORF2-class04-C	420	214	72	8.603	118.028	14599.359	7411.825	7242.865	168.960	22011.184	21951.541	59.643
ORF2-class15-RT	ORF2-class20-N	420	239	17	1.648	67.667	14599.359	8436.414	8370.278	66.136	23035.773	23028.594	7.180
ORF2-class15-RT	ORF2-class05-C	420	214	71	8.810	121.316	14599.359	7404.174	7235.675	168.500	22003.533	21947.639	55.894
ORF2-class15-RT	ORF2-class03-fingers	420	118	118	0.000	37.245	14599.359	4061.188	3544.641	516.548	18660.547	18172.534	488.014
ORF2-class15-RT	ORF2-class03-palm	420	218	218	0.000	47.670	14599.359	7611.973	6592.160	1019.812	22211.332	21230.479	980.853
ORF2-class15-RT	ORF2-class13-C	420	214	68	7.930	120.698	14599.359	7409.747	7243.545	166.202	22009.106	21954.891	54.215
ORF2-class15-RT	ORF2-class17-thumb	420	84	75	1.497	48.211	14599.359	2913.424	2667.002	246.422	17512.783	17305.862	206.922
ORF2-class15-RT	ORF2-class10-wrist	420	201	46	4.994	112.837	14599.359	7075.239	6951.265	123.974	21674.598	21654.750	19.847
ORF2-class15-RT	ORF2-class18-fingers	420	118	118	0.000	37.245	14599.359	4061.188	3544.641	516.548	18660.547	18172.534	488.014
ORF2-class15-RT	pdb7sr6_A_bioassembly	566	420	151	2.189	218.360	19896.180	14599.359	14182.280	417.079	34495.539	34287.551	207.988
ORF2-class15-RT	ORF2-class15-C	420	214	69	7.917	120.718	14599.359	7417.664	7246.164	171.501	22017.023	21957.530	59.493
ORF2-class15-RT	ORF2-class13-tower	420	201	59	3.610	119.691	14599.359	7005.336	6863.210	142.126	21604.695	21573.549	31.146
ORF2-class15-RT	ORF2-class12-palm	420	218	218	0.000	47.670	14599.359	7611.973	6592.160	1019.812	22211.332	21230.479	980.853
ORF2-class15-RT	ORF2-class08-N	420	239	17	1.648	67.667	14599.359	8432.275	8366.109	66.167	23031.635	23024.425	7.210
ORF2-class15-RT	ORF2-class13-N	420	239	14	0.679	64.676	14599.359	8432.558	8370.969	61.589	23031.917	23026.293	5.624
ORF2-class15-RT	pdb6tz2_A,B_bioassembly	1709	420	294	3.724	401.795	60148.299	14599.359	14038.130	561.229	74747.658	74576.945	170.713
ORF2-class15-RT	ORF2-class19-tower	420	201	46	6.075	109.439	14599.359	7038.035	6920.033	118.001	21637.394	21620.121	17.273
ORF2-class15-RT	ORF2-class05-N	420	239	63	4.628	119.737	14599.359	8433.349	8312.765	120.584	23032.709	23023.151	9.557
ORF2-class15-RT	ORF2-class10-palm	420	218	218	0.000	47.670	14599.359	7611.973	6592.160	1019.812	22211.332	21230.479	980.853
ORF2-class15-RT	pdb7kqn_A_bioassembly	596	420	250	3.343	272.106	20782.457	14599.359	14060.073	539.286	35381.817	35105.271	276.545
ORF2-class15-RT	pdb7mez_A,B_bioassembly	1536	420	0	0.000	39.892	53841.285	14599.359	14599.359	0.000	68440.644	68487.545	-46.901
ORF2-class15-RT	ORF2-class12-RT	420	420	420	1.416	26.185	14599.359	14596.728	13182.727	1414.001	29196.087	27799.560	1396.527
ORF2-class15-RT	ORF2-class19-full	1275	420	414	1.481	59.531	44595.580	14599.359	13245.151	1354.208	59194.939	57889.508	1305.431
ORF2-class15-RT	ORF2-class01-RT	420	420	415	1.471	34.981	14599.359	14604.173	13219.202	1384.971	29203.532	27844.831	1358.701
ORF2-class15-RT	ORF2-class11-thumb	420	84	76	1.603	56.854	14599.359	2901.222	2622.888	278.335	17500.581	17270.390	230.191
ORF2-class15-RT	ORF2-class20-wrist	420	201	47	3.755	108.730	14599.359	7068.299	6941.938	126.361	21667.658	21641.316	26.342
ORF2-class15-RT	ORF2-class11-RT	420	420	417	1.925	32.171	14599.359	14617.060	13326.728	1290.333	29216.419	27949.547	1266.873
ORF2-class15-RT	ORF2-class13-thumb	420	84	77	1.504	56.203	14599.359	2880.466	2594.791	285.675	17479.826	17241.642	238.183
ORF2-class15-RT	ORF2-class07-tower	420	201	31	2.999	91.571	14599.359	7038.804	6927.659	111.145	21638.164	21609.879	28.285
ORF2-class15-RT	ORF2-class15-thumb	420	84	84	0.000	36.761	14599.359	2883.521	2503.763	379.758	17482.880	17131.173	351.707
ORF2-class15-RT	ORF2-class11-wrist	420	201	42	2.804	98.962	14599.359	7070.028	6940.607	129.421	21669.387	21630.217	39.170
ORF2-class15-RT	ORF2-class17-tower	420	201	57	5.458	106.581	14599.359	7042.089	6925.258	116.831	21641.448	21622.487	18.961
ORF2-class15-RT	ORF2-class08-tower	420	201	42	5.002	120.522	14599.359	7033.134	6904.419	128.715	21632.493	21615.589	16.904
ORF2-class15-RT	pdb1h4s_A_bioassembly	473	420	0	0.000	37.738	16623.739	14599.359	14599.359	0.000	31223.098	31267.845	-44.747
ORF2-class15-RT	ORF2-class12-fingers	420	118	118	0.000	37.245	14599.359	4061.188	3544.641	516.548	18660.547	18172.534	488.014
ORF2-class15-RT	ORF2-class17-wrist	420	201	60	5.133	141.333	14599.359	7084.026	6927.456	156.569	21683.385	21659.438	23.947
ORF2-class15-RT	pdb4pqu_B_bioassembly	420	412	116	4.988	196.204	14599.359	14449.584	14218.014	231.569	29048.943	29004.866	44.077
ORF2-class15-RT	ORF2-class06-wrist	420	201	41	3.010	108.425	14599.359	7080.893	6962.026	118.868	21680.253	21661.099	19.154
ORF2-class15-RT	pdb4k50_A_bioassembly	460	420	198	3.232	273.734	16165.198	14599.359	14188.418	410.941	30764.557	30618.468	146.089
ORF2-class15-RT	ORF2-class11-palm	420	218	218	0.000	47.670	14599.359	7611.973	6592.160	1019.812	22211.332	21230.479	980.853
ORF2-class15-RT	ORF2-class04-wrist	420	201	41	2.933	108.425	14599.359	7072.663	6949.868	122.795	21672.022	21648.941	23.081
ORF2-class15-RT	ORF2-class01-full	1275	420	415	1.471	59.069	44648.019	14599.359	13209.136	1390.223	59247.378	57905.470	1341.908
ORF2-class15-RT	pdb7r06_A_bioassembly	597	420	194	2.881	197.338	20796.948	14599.359	14142.113	457.246	35396.308	35127.031	269.277
ORF2-class15-RT	ORF2-class02-full	1275	420	415	1.471	59.069	44648.019	14599.359	13209.136	1390.223	59247.378	57905.470	1341.908
ORF2-class15-RT	ORF2-class01-C	420	214	70	7.896	119.948	14599.359	7429.831	7243.039	186.793	22029.191	21953.635	75.555
ORF2-class15-RT	ORF2-thumb	420	84	76	1.374	59.707	14599.359	2871.452	2594.520	276.933	17470.812	17244.875	225.936
ORF2-class15-RT	ORF2-class13-RT	420	420	418	1.191	48.713	14599.359	14596.304	13216.026	1380.279	29195.664	27855.387	1340.276
ORF2-class15-RT	ORF2-class17-palm	420	218	218	0.000	47.670	14599.359	7611.973	6592.160	1019.812	22211.332	21230.479	980.853
ORF2-class15-RT	ORF2-class20-palm	420	218	218	0.000	47.670	14599.359	7611.973	6592.160	1019.812	22211.332	21230.479	980.853
ORF2-class15-RT	ORF2-class10-RT	420	420	416	0.439	55.305	14599.359	14624.608	12725.926	1898.682	29223.968	27371.879	1852.088
ORF2-class15-RT	pdb5tsn_A_bioassembly	500	420	220	3.124	297.776	17480.605	14599.359	14080.469	518.891	32079.964	31849.812	230.152
ORF2-class15-RT	ORF2-class11-full	1275	420	416	1.535	71.601	44621.884	14599.359	13213.840	1385.519	59221.243	57896.571	1324.672
ORF2-class15-RT	ORF2-palm	420	218	218	0.340	47.670	14599.359	7609.145	6388.739	1220.406	22208.504	21027.058	1181.447
ORF2-class15-RT	ORF2-class04-fingers	420	118	118	0.000	37.245	14599.359	4061.188	3544.641	516.548	18660.547	18172.534	488.014
ORF2-class15-RT	ORF2-class14-palm	420	218	218	0.000	47.670	14599.359	7611.973	6592.160	1019.812	22211.332	21230.479	980.853
ORF2-class15-RT	ORF2-class04-full	1275	420	417	1.534	75.447	44602.674	14599.359	13162.445	1436.915	59202.033	57829.811	1372.222
ORF2-class15-RT	pdb4pqu_A,B_bioassembly	957	420	154	2.393	223.141	33655.789	14599.359	14196.776	402.583	48255.148	48065.471	189.676
ORF2-class15-RT	ORF2-class14-RT	420	420	416	1.456	33.804	14599.359	14602.366	13192.514	1409.852	29201.726	27816.966	1384.759
ORF2-class15-RT	ORF2-crystal-full	697	420	405	0.930	79.975	24310.906	14599.359	13033.290	1566.069	38910.265	37414.517	1495.748
ORF2-class15-RT	ORF2-class15-wrist	420	201	31	2.031	89.781	14599.359	7064.710	6950.622	114.087	21664.069	21631.052	33.017
ORF2-class15-RT	ORF2-class08-thumb	420	84	79	1.568	56.202	14599.359	2894.454	2610.644	283.809	17493.813	17257.495	236.318
ORF2-class15-RT	ORF2-class04-palm	420	218	218	0.000	47.670	14599.359	7611.973	6592.160	1019.812	22211.332	21230.479	980.853
ORF2-class15-RT	ORF2-class15-N	420	239	17	1.648	67.667	14599.359	8420.752	8354.622	66.130	23020.111	23012.938	7.173
ORF2-class15-RT	pdb4wta_A_bioassembly	535	420	280	3.418	255.525	18715.109	14599.359	13994.486	604.873	33314.468	32955.956	358.512
ORF2-class15-RT	pdb1mu2_B_bioassembly	420	402	123	4.598	180.536	14599.359	14131.938	13906.344	225.594	28731.297	28677.528	53.770
ORF2-class15-RT	pdb5g2x_C_bioassembly	486	420	190	3.471	249.747	17566.509	14599.359	14232.807	366.552	32165.868	32040.078	125.790
ORF2-class15-RT	ORF2-class17-fingers	420	118	118	0.000	37.245	14599.359	4061.188	3544.641	516.548	18660.547	18172.534	488.014
ORF2-class15-RT	pdb7y38_A,B,C_bioassembly	1413	420	0	0.000	39.742	49774.670	14599.359	14599.359	0.000	64374.029	64420.780	-46.751
ORF2-class15-RT	ORF2-class06-N	420	239	53	5.380	116.668	14599.359	8441.087	8319.803	121.284	23040.446	23027.118	13.328
ORF2-class15-RT	ORF2-class02-thumb	420	84	76	1.618	59.315	14599.359	2888.335	2611.089	277.245	17487.694	17261.052	226.642
ORF2-class15-RT	pdb7pks-bundle2_full	420	317	46	4.841	103.278	14599.359	11168.256	11041.191	127.065	25767.615	25735.117	32.498
ORF2-class15-RT	ORF2-class17-RT	420	420	414	1.553	35.899	14629.262	14599.359	13248.120	1351.239	29228.621	27904.571	1324.051
ORF2-class15-RT	ORF2-fingers	420	118	118	0.167	37.245	14599.359	4064.425	3470.786	593.639	18663.784	18098.679	565.105
ORF2-class15-RT	pdb6oe7_A_bioassembly	420	258	0	0.000	36.585	14599.359	9154.894	9154.894	0.000	23754.253	23797.848	-43.594
ORF2-class15-RT	ORF2-class03-thumb	420	84	77	1.476	64.400	14599.359	2883.231	2600.788	282.443	17482.590	17255.836	226.753
ORF2-class15-RT	ORF2-class19-thumb	420	84	75	1.434	61.689	14599.359	2875.052	2597.822	277.230	17474.411	17250.159	224.252
ORF2-class15-RT	pdb1mu2_A,B_bioassembly	940	420	124	2.608	159.845	33073.124	14599.359	14264.226	335.133	47672.483	47486.993	185.490
ORF2-class15-RT	pdb4cgz_A_bioassembly	629	420	0	0.000	38.268	22153.210	14599.359	14599.359	0.000	36752.569	36797.847	-45.278
ORF2-class15-RT	ORF2-crystal-RT	420	407	405	0.947	58.167	14599.359	14151.895	12588.270	1563.626	28751.254	27237.085	1514.170
ORF2-class15-RT	ORF2-class16-palm	420	218	218	0.000	47.670	14599.359	7611.973	6592.160	1019.812	22211.332	21230.479	980.853
ORF2-class15-RT	ORF2-crystal-fingers	420	118	118	0.488	37.245	14599.359	4068.465	3434.054	634.410	18667.824	18061.947	605.876
ORF2-class15-RT	pdb2r92_A,B,C,D,E,F,G,H,I,J,K,L_bioassembly	3926	420	0	0.000	41.548	141282.796	14599.359	14599.359	0.000	155882.155	155930.712	-48.557
ORF2-class15-RT	ORF2-class06-full	1275	420	416	0.495	104.759	44662.129	14599.359	12723.255	1876.104	59261.488	57479.389	1782.098
ORF2-class15-RT	ORF2-full	1275	420	409	0.410	60.967	44355.184	14599.359	13156.696	1442.663	58954.543	57562.093	1392.450
ORF2-class15-RT	ORF2-class19-RT	420	420	415	1.692	34.981	14590.890	14599.359	13245.910	1353.449	29190.249	27863.070	1327.179
ORF2-class15-RT	ORF2-class05-RT	420	420	420	1.446	26.185	14599.359	14606.764	13173.919	1432.846	29206.124	27790.752	1415.372
ORF2-class15-RT	ORF2-wrist	420	201	46	2.487	113.071	14599.359	7022.779	6879.300	143.480	21622.138	21583.019	39.120
ORF2-class15-RT	ORF2-class14-full	1275	420	417	1.466	78.969	44578.540	14599.359	13141.426	1457.933	59177.899	57788.182	1389.717
ORF2-class15-RT	pdb7xi9_A_bioassembly	869	420	0	0.000	38.862	30917.502	14599.359	14599.359	0.000	45516.861	45562.733	-45.872
ORF2-class15-RT	ORF2-RT	420	420	413	1.334	47.291	14599.359	14586.915	13061.597	1525.318	29186.274	27699.536	1486.738
ORF2-class15-RT	ORF2-class09-thumb	420	84	79	1.500	52.841	14599.359	2884.636	2585.797	298.839	17483.995	17229.287	254.709
ORF2-class18-palm	ORF2-crystal-thumb	218	72	16	0.612	56.166	7611.973	2454.600	2386.348	68.252	10066.572	10047.033	19.540
ORF2-class18-palm	ORF2-class01-fingers	218	118	51	4.072	88.276	7611.973	4061.188	3938.379	122.810	11673.161	11631.173	41.988
ORF2-class18-palm	pdb4pqu_A_bioassembly	545	218	124	2.359	179.925	19151.851	7611.973	7265.599	346.373	26763.824	26588.177	175.647
ORF2-class18-palm	ORF2-class05-fingers	218	118	51	4.072	88.276	7611.973	4061.188	3938.379	122.810	11673.161	11631.173	41.988
ORF2-class18-palm	pdb6me0_C_bioassembly	414	218	139	1.915	163.994	14642.339	7611.973	7195.154	416.819	22254.311	21992.803	261.509
ORF2-class18-palm	pdb3ol7_A_bioassembly	461	218	161	4.244	151.173	16245.655	7611.973	7280.108	331.865	23857.627	23668.049	189.578
ORF2-class18-palm	pdb8gh6_A_bioassembly	898	218	198	1.544	124.096	31317.130	7611.973	6911.541	700.431	38929.103	38342.648	586.454
ORF2-class18-palm	pdb4k4y_A_bioassembly	463	218	158	3.758	161.859	16316.888	7611.973	7272.153	339.819	23928.861	23742.006	186.855
ORF2-class18-palm	ORF2-class15-fingers	218	118	51	4.072	88.276	7611.973	4061.188	3938.379	122.810	11673.161	11631.173	41.988
ORF2-class18-palm	ORF2-crystal-palm	218	217	217	0.908	34.740	7611.973	7584.934	6736.126	848.808	15196.907	14375.384	821.523
ORF2-class18-palm	pdb7y7q_A_bioassembly	951	218	0	0.000	37.770	33404.022	7611.973	7611.973	0.000	41015.994	41060.773	-44.779
ORF2-class18-palm	ORF2-class07-RT	420	218	218	0.000	47.670	14618.962	7611.973	6592.160	1019.812	22230.935	21250.082	980.853
ORF2-class18-palm	ORF2-class08-C	218	214	22	1.681	64.238	7611.973	7409.036	7325.794	83.241	15021.008	14994.551	26.457
ORF2-class18-palm	pdb1mu2_A_bioassembly	538	218	123	2.482	158.301	18884.990	7611.973	7272.248	339.724	26496.962	26306.364	190.598
ORF2-class18-palm	ORF2-class12-tower	218	201	0	0.000	34.842	7611.973	7002.022	7002.022	0.000	14613.995	14655.846	-41.851
ORF2-class18-palm	ORF2-class04-thumb	218	84	35	1.996	85.346	7611.973	2883.231	2762.968	120.262	10495.203	10452.832	42.371
ORF2-class18-palm	ORF2-class01-palm	218	218	218	0.000	24.915	7611.973	7611.973	6592.160	1019.812	15223.945	14221.594	1002.351
ORF2-class18-palm	ORF2-class09-fingers	218	118	51	4.072	88.276	7611.973	4061.188	3938.379	122.810	11673.161	11631.173	41.988
ORF2-class18-palm	ORF2-class13-fingers	218	118	51	4.072	88.276	7611.973	4061.188	3938.379	122.810	11673.161	11631.173	41.988
ORF2-class18-palm	ORF2-class02-C	218	214	53	4.445	103.182	7611.973	7429.831	7311.234	118.597	15041.804	15018.935	22.869
ORF2-class18-palm	ORF2-class07-full	1275	218	218	0.000	54.186	44624.991	7611.973	6592.160	1019.812	52236.964	51260.584	976.379
ORF2-class18-palm	ORF2-class15-tower	218	201	0	0.000	34.842	7611.973	7035.759	7035.759	0.000	14647.732	14689.583	-41.851
ORF2-class18-palm	pdb7om7_A_bioassembly	628	218	127	3.917	162.220	21948.793	7611.973	7318.545	293.428	29560.765	29420.096	140.670
ORF2-class18-palm	ORF2-class08-full	1275	218	218	0.000	54.186	44655.046	7611.973	6592.160	1019.812	52267.019	51290.639	976.379
ORF2-class18-palm	ORF2-class12-wrist	218	201	46	3.753	97.439	7611.973	7069.895	6941.884	128.011	14681.868	14643.842	38.026
ORF2-class18-palm	ORF2-class14-wrist	218	201	16	1.663	61.267	7611.973	7051.683	6996.562	55.121	14663.655	14662.348	1.308
ORF2-class18-palm	ORF2-class07-fingers	218	118	51	4.072	88.276	7611.973	4061.188	3938.379	122.810	11673.161	11631.173	41.988
ORF2-class18-palm	ORF2-class03-RT	420	218	218	0.000	47.670	14599.069	7611.973	6592.160	1019.812	22211.041	21230.188	980.853
ORF2-class18-palm	pdb3uo7_A_bioassembly	218	181	27	3.640	74.282	7611.973	6373.707	6302.661	71.046	13985.680	13981.461	4.218
ORF2-class18-palm	ORF2-class13-palm	218	218	218	0.000	24.915	7611.973	7611.973	6592.160	1019.812	15223.945	14221.594	1002.351
ORF2-class18-palm	ORF2-class14-tower	218	201	39	2.308	79.846	7611.973	6993.597	6870.584	123.013	14605.570	14554.949	50.621
ORF2-class18-palm	ORF2-class16-tower	218	201	0	0.000	34.842	7611.973	7046.079	7046.079	0.000	14658.051	14699.902	-41.851
ORF2-class18-palm	ORF2-class19-fingers	218	118	51	4.072	88.276	7611.973	4061.188	3938.379	122.810	11673.161	11631.173	41.988
ORF2-class18-palm	ORF2-class14-fingers	218	118	51	4.072	88.276	7611.973	4061.188	3938.379	122.810	11673.161	11631.173	41.988
ORF2-class18-palm	ORF2-class10-N	239	218	54	3.498	109.729	8423.921	7611.973	7487.046	124.927	16035.894	16013.063	22.831
ORF2-class18-palm	ORF2-class05-palm	218	218	218	0.000	24.915	7611.973	7611.973	6592.160	1019.812	15223.945	14221.594	1002.351
ORF2-class18-palm	ORF2-class12-full	1275	218	218	0.000	54.186	44593.859	7611.973	6592.160	1019.812	52205.832	51229.453	976.379
ORF2-class18-palm	ORF2-class04-N	239	218	42	2.015	115.474	8430.830	7611.973	7477.352	134.621	16042.803	16016.023	26.779
ORF2-class18-palm	ORF2-class16-RT	420	218	218	0.000	47.670	14627.921	7611.973	6592.160	1019.812	22239.894	21259.041	980.853
ORF2-class18-palm	pdb7uin_D_bioassembly	387	218	158	2.656	101.279	13419.629	7611.973	7185.824	426.148	21031.601	20698.176	333.426
ORF2-class18-palm	ORF2-class15-full	1275	218	218	0.000	54.186	44621.153	7611.973	6592.160	1019.812	52233.126	51256.746	976.379
ORF2-class18-palm	ORF2-class20-tower	218	201	35	1.459	85.335	7611.973	7030.663	6896.720	133.943	14642.636	14586.574	56.062
ORF2-class18-palm	pdb7o0g_A_bioassembly	733	218	126	2.781	162.506	25706.269	7611.973	7292.873	319.099	33318.242	33151.902	166.340
ORF2-class18-palm	ORF2-crystal-wrist	218	182	19	1.244	63.737	7611.973	6359.311	6283.329	75.983	13971.284	13951.584	19.700
ORF2-class18-palm	ORF2-N	239	218	58	4.362	128.958	8403.687	7611.973	7487.772	124.201	16015.660	16012.784	2.876
ORF2-class18-palm	ORF2-class07-C	218	214	42	3.608	81.977	7611.973	7402.507	7304.520	97.988	15014.480	14991.015	23.465
ORF2-class18-palm	ORF2-class18-C	218	214	22	1.681	64.238	7611.973	7414.137	7330.907	83.230	15026.109	14999.663	26.446
ORF2-class18-palm	ORF2-class18-thumb	218	84	34	2.011	84.356	7611.973	2906.426	2787.619	118.807	10518.399	10476.493	41.906
ORF2-class18-palm	ORF2-class08-RT	420	218	218	0.000	47.670	14610.292	7611.973	6592.160	1019.812	22222.264	21241.411	980.853
ORF2-class18-palm	ORF2-class17-N	239	218	49	3.149	107.319	8433.993	7611.973	7490.135	121.838	16045.965	16023.813	22.152
ORF2-class18-palm	ORF2-class02-fingers	218	118	51	4.072	88.276	7611.973	4061.188	3938.379	122.810	11673.161	11631.173	41.988
ORF2-class18-palm	ORF2-class07-N	239	218	49	3.149	107.319	8436.945	7611.973	7490.139	121.833	16048.917	16026.770	22.147
ORF2-class18-palm	ORF2-class03-wrist	218	201	59	6.418	107.527	7611.973	7072.663	6921.439	151.224	14684.636	14633.485	51.151
ORF2-class18-palm	ORF2-class20-RT	420	218	218	0.000	47.670	14623.604	7611.973	6592.160	1019.812	22235.577	21254.724	980.853
ORF2-class18-palm	ORF2-class13-full	1275	218	218	0.000	54.186	44581.521	7611.973	6592.160	1019.812	52193.493	51217.114	976.379
ORF2-class18-palm	ORF2-class09-wrist	218	201	12	1.159	63.494	7611.973	7098.816	7038.241	60.575	14710.789	14706.253	4.536
ORF2-class18-palm	ORF2-class01-thumb	218	84	47	3.346	83.545	7611.973	2888.335	2758.963	129.372	10500.307	10447.027	53.280
ORF2-class18-palm	ORF2-class05-tower	218	201	64	6.023	112.890	7611.973	7072.231	6901.028	171.203	14684.204	14618.436	65.768
ORF2-class18-palm	ORF2-class14-thumb	218	84	41	2.315	92.005	7611.973	2886.528	2764.793	121.736	10498.501	10461.316	37.185
ORF2-class18-palm	pdb1aoi_A,B,C,D_bioassembly	395	218	41	2.110	92.908	13793.615	7611.973	7489.068	122.905	21405.587	21366.996	38.592
ORF2-class18-palm	pdb6ar1_A_bioassembly	417	218	162	2.158	118.079	14535.519	7611.973	7147.042	464.930	22147.492	21791.943	355.548
ORF2-class18-palm	ORF2-class19-wrist	218	201	53	6.747	95.240	7611.973	7055.243	6926.222	129.021	14667.216	14625.980	41.235
ORF2-class18-palm	pdb7ksf_A_bioassembly	742	218	120	2.938	144.367	26151.340	7611.973	7339.390	272.582	33763.312	33625.327	137.985
ORF2-class18-palm	ORF2-class01-wrist	218	201	53	6.433	95.189	7611.973	7061.694	6930.668	131.025	14673.666	14630.376	43.290
ORF2-class18-palm	ORF2-class16-wrist	218	201	0	0.000	34.842	7611.973	7074.312	7074.312	0.000	14686.285	14728.136	-41.851
ORF2-class18-palm	ORF2-class10-fingers	218	118	51	4.072	88.276	7611.973	4061.188	3938.379	122.810	11673.161	11631.173	41.988
ORF2-class18-palm	ORF2-class16-full	1275	218	218	0.000	54.186	44704.826	7611.973	6592.160	1019.812	52316.799	51340.420	976.379
ORF2-class18-palm	pdb7pks-bundle1_full	12927	218	65	4.573	145.589	453130.097	7611.973	7465.036	146.936	460742.070	460725.930	16.140
ORF2-class18-palm	ORF2-class05-thumb	218	84	48	3.375	82.754	7611.973	2890.926	2762.241	128.686	10502.899	10449.514	53.385
ORF2-class18-palm	ORF2-class18-N	239	218	49	3.149	107.319	8430.142	7611.973	7490.137	121.836	16042.114	16019.965	22.149
ORF2-class18-palm	pdb6qct_A,B,C_bioassembly	2186	218	158	2.846	202.354	76820.278	7611.973	7181.072	430.901	84432.251	84191.988	240.263
ORF2-class18-palm	ORF2-class03-C	218	214	22	1.681	64.238	7611.973	7411.825	7328.576	83.249	15023.798	14997.333	26.465
ORF2-class18-palm	ORF2-class19-palm	218	218	218	0.000	24.915	7611.973	7611.973	6592.160	1019.812	15223.945	14221.594	1002.351
ORF2-class18-palm	ORF2-class10-thumb	218	84	34	2.011	84.356	7611.973	2908.770	2789.963	118.807	10520.743	10478.837	41.906
ORF2-class18-palm	ORF2-class14-C	218	214	39	3.690	82.202	7611.973	7410.671	7313.259	97.412	15022.643	14999.980	22.663
ORF2-class18-palm	ORF2-class08-wrist	218	201	54	6.502	85.571	7611.973	7088.388	6955.931	132.457	14700.360	14646.021	54.339
ORF2-class18-palm	ORF2-class06-C	218	214	22	1.681	64.238	7611.973	7414.184	7330.943	83.241	15026.156	14999.699	26.457
ORF2-class18-palm	ORF2-class03-tower	218	201	41	2.106	84.841	7611.973	7012.994	6870.604	142.389	14624.966	14559.965	65.002
ORF2-class18-palm	ORF2-class09-RT	420	218	218	0.000	47.670	14600.474	7611.973	6592.160	1019.812	22212.447	21231.594	980.853
ORF2-class18-palm	ORF2-class19-C	218	214	22	1.681	64.238	7611.973	7409.247	7326.001	83.245	15021.219	14994.758	26.461
ORF2-class18-palm	ORF2-class10-full	1275	218	218	0.000	54.186	44620.196	7611.973	6592.160	1019.812	52232.168	51255.789	976.379
ORF2-class18-palm	ORF2-class10-C	218	214	22	1.681	64.238	7611.973	7410.500	7327.235	83.264	15022.472	14995.992	26.480
ORF2-class18-palm	ORF2-class11-N	239	218	42	2.014	115.474	8417.778	7611.973	7477.351	134.622	16029.751	16002.970	26.781
ORF2-class18-palm	ORF2-class02-tower	218	201	0	0.000	34.842	7611.973	7044.950	7044.950	0.000	14656.923	14698.774	-41.851
ORF2-class18-palm	pdb4mh8_A_bioassembly	453	218	117	2.535	154.268	15980.341	7611.973	7311.742	300.230	23592.313	23437.498	154.815
ORF2-class18-palm	ORF2-class02-wrist	218	201	53	6.433	95.189	7611.973	7061.694	6930.668	131.025	14673.666	14630.376	43.290
ORF2-class18-palm	ORF2-class10-tower	218	201	33	1.304	85.557	7611.973	7011.342	6877.792	133.550	14623.315	14567.868	55.447
ORF2-class18-palm	pdb4u1c_A,B_bioassembly	271	218	0	0.000	35.423	9435.257	7611.973	7611.973	0.000	17047.230	17089.662	-42.432
